variance of Wavelet,skewness of Wavelet,curtosis of Wavelet,entropy,shap0,shap1,shap2,shap3,label
3.6216,8.6661,-2.8073,-0.4469899999999999,-4.4204326,-3.4925969,1.4229119,-0.23882695,0
4.5459,8.1674,-2.4586,-1.4621,-4.520337,-3.3926928,1.4229119,-0.23882695,0
3.866,-2.6383,1.9242,0.10645,-6.306069,1.4154713,-0.8555626,-0.039500877,0
3.4566,9.5228,-4.0112,-3.5944,-4.41033,-3.5245326,1.611561,-0.117539026,0
0.32924,-4.4552,4.5718,-0.9888,-2.271012,1.5063466,-3.399365,-0.5933547,0
4.3684,9.6718,-3.9606,-3.1625,-4.4014425,-3.5245326,1.5305252,-0.117539026,0
3.5912,3.0129,0.72888,0.56421,-6.3564644,0.11555669,-0.52577186,0.27311504,0
2.0922,-6.81,8.4636,-0.60216,-5.3675103,1.8312502,-2.3583012,-0.37553763,0
3.2032,5.7588,-0.75345,-0.61251,-5.6780696,-2.3002496,0.50331163,-0.30025363,0
1.5356,9.1772,-2.2718,-0.73535,-1.880967,-4.9032106,1.71357,-0.38531935,0
1.2247,8.7779,-2.2135,-0.80647,-1.8279697,-4.821336,1.6763381,-0.38531935,0
3.9899,-2.7066,2.3946,0.8629100000000001,-6.201602,1.423851,-1.2210349,0.47620285,0
1.8993,7.6625,0.15394,-3.1108,-4.4496465,-2.8411255,0.10930474,-0.17331453,0
-1.5768,10.843,2.5462,-2.9362,1.9739846,-6.707031,-1.0317369,-0.09469581,0
3.404,8.7261,-2.9915,-0.5724199999999999,-4.4204326,-3.4925969,1.4229119,-0.23882695,0
4.6765,-3.3895,3.4896,1.4771,-5.889294,1.33142,-1.5985117,0.47620285,0
2.6719,3.0646,0.37158,0.58619,-6.4250064,0.15958935,-0.26570255,0.27311504,0
0.80355,2.8473,4.3439,0.6017,-3.0212088,-0.3072677,-3.6334925,0.45086342,0
1.4479,-4.8794,8.3428,-2.1086,-3.5725496,1.8836802,-3.2729278,-0.5121818,0
5.2423,11.0272,-4.353,-4.1013,-4.188081,-3.520785,2.1342413,-0.117539026,0
5.7867,7.8902,-2.6196,-0.48708,-4.5938067,-3.3292994,1.4329888,-0.23882695,0
0.3292,-4.4552,4.5718,-0.9888,-2.271012,1.5063466,-3.399365,-0.5933547,0
3.9362,10.1622,-3.8235,-4.0172,-4.379893,-3.5245326,1.4394354,-0.117539026,0
0.93584,8.8855,-1.6831,-1.6599,-2.148889,-4.469971,1.1308637,-0.49341583,0
4.4338,9.887,-4.6795,-3.7483,-4.4220467,-3.4778914,3.2185884,-0.117539026,0
0.7057,-5.4981,8.3368,-2.8715,-2.5423257,2.2379305,-3.448077,-0.52255464,0
1.1432,-3.7413,5.5777,-0.63578,-3.5846322,1.4418069,-2.9869232,-0.5664646,0
-0.38214,8.3909,2.1624,-3.7405,0.11217555,-5.5148993,-1.2228918,-0.2200567,0
6.5633,9.8187,-4.4113,-3.2258,-4.281626,-3.5080516,2.3339872,-0.117539026,0
4.8906,-3.3584,3.4202,1.0905,-5.889294,1.33142,-1.5985117,0.47620285,0
