MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,shap0,shap1,shap2,shap3,shap4,shap5,shap6,shap7,label
8.3252,41.0,6.984126984126984,1.0238095238095237,322.0,2.5555555555555554,37.88,-122.23,1.8278053,0.12079319,0.19800065,0.005954209,-0.072108455,-0.004338666,-0.47199005,0.51218843,4.1847444
8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22,1.4314433,-0.013443113,0.023793977,-0.07709346,0.05734605,0.16351892,-0.43661368,0.5097363,3.727127
7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,1.3170841,0.18882553,0.36380735,0.03825521,-0.030278256,-0.013510942,-0.5664886,0.53483015,3.9009624
5.6431,52.0,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,0.8306325,0.24899887,-0.04623899,0.004580789,-0.029472541,0.2636067,-0.50106996,0.598117,3.4375932
3.8462,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,0.050388098,0.117913015,0.05907312,0.0026649865,-0.038114566,0.29022175,-0.67442286,0.6233017,2.499464
4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,0.08644047,0.09285392,-0.09065476,-0.006678584,-0.14529811,0.3414494,-0.6042563,0.5375227,2.279817
3.6591,52.0,4.9319066147859925,0.9513618677042801,1094.0,2.1284046692607004,37.84,-122.25,-0.08480665,0.13319422,-0.08201705,-0.03168745,0.0007846891,0.34042156,-0.50343466,0.54873717,2.3896308
3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,-0.19591725,0.21573769,-0.0680253,-0.010201501,0.01054184,0.557823,-0.57583416,0.56533104,2.5678945
2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,-0.66564274,0.027501421,-0.06705289,0.013526022,-0.0068578296,0.5095322,-0.61069566,0.5500953,1.818845
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,-0.045123667,0.12868768,-0.05525695,-0.0012114979,0.028738432,0.31300333,-0.57021105,0.61440164,2.4814668
3.2031,52.0,5.477611940298507,1.0796019900497513,910.0,2.263681592039801,37.85,-122.26,-0.17511743,0.13856155,-0.022920242,0.018590556,-0.006515583,0.2510329,-0.51916105,0.63321066,2.38612
3.2705,52.0,4.772479564032698,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26,-0.2402046,0.18678421,-0.067540504,0.0063566184,0.030277664,0.36785978,-0.54798037,0.5468856,2.3508766
3.075,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26,-0.3660697,0.12190659,-0.104799196,0.0051754415,0.0034131366,0.14739913,-0.5183349,0.61227304,1.9694024
2.6736,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26,-0.43339524,0.14520755,-0.07835834,0.022298204,-0.0385694,0.459208,-0.56265175,0.5555479,2.1377254
