x0,x1,shap0,shap1,label
-78.73652,-23.682686,-63.00335,-32.92956,4.1847444
-82.420425,25.202501,-62.703102,-29.859743,3.727127
-63.261196,-53.835926,-55.783737,-23.674128,3.9009624
-58.47008,-57.221436,-49.56581,-18.334547,3.4375932
-43.627316,-63.022198,-50.792725,43.420605,2.499464
-44.51828,-62.69513,-51.152195,42.640846,2.279817
-39.428032,-63.70596,-47.986916,45.609787,2.3896308
-34.41563,-63.70558,-49.60597,49.326775,2.5678945
-32.063686,-36.44553,-44.147785,54.982998,1.818845
-39.83989,-64.17905,-47.985004,45.440933,2.4814668
-35.31338,-63.314857,-46.067722,46.041107,2.38612
-35.38157,-64.64213,-47.03033,48.008263,2.3508766
-34.19901,-63.572758,-43.592175,47.345707,1.9694024
-29.559792,-62.092644,-46.198742,51.750496,2.1377254
-24.775751,-58.376377,-43.88576,55.300377,1.7969832
-29.63765,-47.64867,-33.18355,52.769085,1.1883537
-30.31958,-62.60959,-37.283264,51.94113,1.6169916
-26.167318,-59.387478,-38.700714,54.553776,1.5479733
-29.351809,-47.505535,-37.400234,54.892723,1.3357961
-29.38182,-62.242474,-36.81655,51.04313,1.6307348
-35.641468,-21.93865,-36.810997,54.353672,1.2376558
-31.31468,-36.60989,-34.044994,53.552097,1.1575983
-24.478329,-57.469177,-39.55927,55.06064,1.5392113
-26.205626,-59.66841,-33.501892,52.41068,1.2589793
-29.208063,-62.82066,-37.334805,51.79649,1.6356758
-33.382713,-35.664524,-33.959824,50.66419,1.1689364
-31.982805,-47.73817,-34.391277,50.298973,1.2267653
-24.623213,-57.918922,-33.431717,52.51886,1.1436973
-28.59312,-47.277126,-37.39231,55.035774,1.2078551
-24.401178,-56.497063,-33.861904,52.56908,1.2278203
-29.325129,-46.94865,-37.72587,55.395424,1.2805796
-24.941698,-58.56393,-33.47709,52.216187,1.2178823
-29.195833,-46.178936,-28.063068,50.958347,1.0702264
-27.998575,-46.243088,-37.448036,55.402378,1.1874511
-28.707428,-64.194496,-37.328632,52.17302,1.4980395
-28.186533,-46.357502,-37.492844,55.462093,1.1666819
-27.68818,-45.59519,-33.136368,53.24494,1.0306525
-23.329195,-56.063354,-38.35564,54.61035,1.5209558
-38.057602,-63.273994,-46.06638,45.984787,2.2616916
-28.743153,-64.67099,-45.276405,51.057095,2.05674
-25.747425,-59.42913,-37.71634,54.640823,1.4188136
-23.372877,-55.405525,-43.727196,54.897263,1.7316264
-27.47283,-45.932503,-38.320297,55.32785,1.4995404
-44.109287,-62.86906,-51.4524,41.867805,2.4446948
-33.869495,-62.945084,-44.86451,47.056797,2.1384606
-29.601124,-62.47835,-46.30204,52.73418,2.028024
-29.459896,-47.60123,-44.210712,54.82575,1.8666346
-31.034725,-37.41114,-37.82195,55.333405,1.3068115
-35.427975,-21.6385,-33.078564,53.15924,1.0286422
-36.09469,-22.441765,-42.577858,53.85411,1.6293927
-49.37888,20.134233,-43.36671,53.91565,1.819284
-30.811285,-37.37127,-33.125557,53.167637,1.0722947
-35.090645,-22.016693,-33.116066,53.26446,1.0317911
-22.81309,-55.929207,-33.023315,52.216427,1.1957977
-24.132462,-56.48787,-32.720768,52.251865,1.0649204
-23.61361,-55.888626,-33.38887,52.456703,1.1234373
-23.858465,-56.117817,-37.476475,54.839725,1.2774252
-22.730396,-55.04521,-28.103825,50.92656,1.0198642
-22.880827,-55.79148,-27.712057,48.77614,1.0562825
-51.205513,57.83457,-40.598763,49.0906,1.2424426
-37.397156,-63.15967,-38.711624,36.52567,1.9025862
-58.085617,-43.172043,-44.41705,5.926475,0.8954298
-27.089098,-46.220634,-28.194458,50.632496,0.82536644
-23.259453,-55.16836,-26.231043,48.40204,0.89677393
-32.546883,-46.717876,-33.287937,44.488964,1.127088
-23.144062,-55.407642,-27.909319,49.43085,0.9965385
-27.456377,-45.472065,-37.25471,55.22606,1.0943727
-29.056753,-61.36868,-26.865114,46.72318,1.2425101
-25.475058,-57.73599,-26.255022,48.29868,0.98491347
-27.770971,-44.320415,-30.819157,52.018772,1.0334527
-47.905148,2.4567683,-28.043243,50.720634,1.067275
-27.469282,-44.578312,-38.482685,55.12595,1.3969007
-28.87646,-46.71291,-27.662651,49.858967,0.90270954
-27.335045,-44.603428,-35.017605,49.983604,0.84399426
-51.441982,18.709192,-42.797478,51.773823,1.6524063
-49.92684,20.991991,-42.084957,52.728184,1.5164534
-40.637093,-21.003094,-36.572945,53.198734,1.3571707
-49.78816,20.573679,-27.761948,50.15262,1.0565407
-45.760937,3.6761103,-28.564625,50.338585,0.9657388
-38.30697,-22.038437,-38.11501,54.49614,1.3952987
-50.23465,21.161682,-42.006905,52.390804,1.6027316
-23.227093,-55.326523,-27.641247,48.350357,1.2423548
-24.0276,-55.977398,-37.40232,54.894115,1.225017
-22.659033,-55.04042,-40.386913,53.541786,1.5262367
-38.744976,-19.273754,-30.597225,52.074463,1.1376221
-28.559128,-61.1255,-26.644445,47.590687,1.1665174
-35.4257,-21.64962,-43.732178,55.29519,1.5029764
-54.882015,41.75116,-42.38267,52.94257,1.7111814
