x0,x1,shap0,shap1,label
-5.807882,5.8904552,10.141873,11.599855,4.1847444
-4.870905,0.33157504,11.587622,5.116213,3.727127
-4.6674743,9.898042,11.654649,5.0637307,3.9009624
-4.0525637,10.693075,12.083998,4.406423,3.4375932
-2.394891,12.172676,13.230962,4.240745,2.499464
-2.4602468,12.061035,13.243467,4.2648587,2.279817
-1.9078289,12.243378,13.820266,4.194106,2.3896308
-1.3054013,12.114703,14.094582,4.4459834,2.5678945
-1.6463563,8.369532,14.937782,4.2028904,1.818845
-1.9343904,12.295623,13.838826,4.192742,2.4814668
-1.441681,12.151294,14.070784,4.0548735,2.38612
-1.4727437,12.159578,14.210354,4.22985,2.3508766
-1.2753075,12.095346,14.490593,3.8679278,1.9694024
-0.94109756,11.817531,14.602092,4.29527,2.1377254
-0.58658046,11.294597,14.973299,4.1840744,1.7969832
-1.2240158,10.112289,15.457006,3.153825,1.1883537
-1.0149161,11.87081,15.100526,3.533845,1.6169916
-0.691877,11.388839,15.189294,3.6990993,1.5479733
-1.1967318,10.089068,15.256179,3.6354926,1.3357961
-0.932289,11.727115,15.014812,3.3919897,1.6307348
-1.7273946,7.5292063,15.305172,3.5222251,1.2376558
-1.6003509,8.352852,15.396811,3.3437192,1.1575983
-0.5701221,11.265768,15.159171,3.8077083,1.5392113
-0.73974925,11.444322,15.450229,3.1868289,1.2589793
-0.98208404,11.757362,15.061682,3.5433252,1.6356758
-1.6838533,8.30925,15.376791,3.1040466,1.1689364
-1.6089715,9.93118,15.250718,3.226409,1.2267653
-0.55796033,11.23744,15.451867,3.1451488,1.1436973
-1.1441203,10.080923,15.255412,3.659016,1.2078551
-0.52241814,11.19635,15.415111,3.2828248,1.2278203
-1.2014856,10.013274,15.256011,3.6755204,1.2805796
-0.7159165,11.368242,15.434599,3.141525,1.2178823
-1.2555804,9.828499,15.470363,2.7116425,1.0702264
-1.1086086,9.945239,15.266572,3.6370637,1.1874511
-1.0218875,11.701744,15.1722975,3.6046324,1.4980395
-1.104332,9.991462,15.268795,3.6523004,1.1666819
-1.1155895,9.779966,15.468988,3.1668987,1.0306525
-0.3982911,11.168691,15.187782,3.7101734,1.5209558
-1.7372352,12.225683,14.063127,4.0383286,2.2616916
-0.9805051,11.815697,14.634883,4.238983,2.05674
-0.6938227,11.420173,15.239431,3.628866,1.4188136
-0.47830874,11.037252,14.96087,4.142705,1.7316264
-1.073316,9.889592,15.214598,3.7147398,1.4995404
-2.4126747,12.073959,13.229171,4.203801,2.4446948
-1.2459042,12.137767,14.196361,4.0387015,2.1384606
-0.9513885,11.804899,14.687822,4.299015,2.028024
-1.1936833,10.137167,14.93312,4.234177,1.8666346
-1.5390747,8.542533,15.239147,3.6764028,1.3068115
-1.6936165,7.464372,15.469634,3.1598647,1.0286422
-1.7298585,7.6097207,15.020494,4.0832553,1.6293927
-2.5544164,1.9612437,14.877557,4.244187,1.819284
-1.5298975,8.583099,15.467782,3.1790886,1.0722947
-1.6801662,7.6686025,15.459279,3.173477,1.0317911
-0.40634158,11.143381,15.451127,3.1308846,1.1957977
-0.510798,11.199089,15.502854,3.0813828,1.0649204
-0.45909092,11.130195,15.435788,3.1485248,1.1234373
-0.4735679,11.156426,15.246649,3.643496,1.2774252
-0.4243022,11.067699,15.460077,2.708858,1.0198642
-0.41367707,11.114118,15.335361,2.5493608,1.0562825
-1.8326348,-0.90247494,14.609531,3.9155369,1.2424426
-1.5820668,12.242336,13.791032,3.0730844,1.9025862
-3.8789756,9.163288,12.534743,3.205564,0.8954298
-1.0010502,10.052433,15.447029,2.6396077,0.82536644
-0.43455645,11.093629,15.412923,2.571053,0.89677393
-1.6549493,9.686919,14.923815,2.755974,1.127088
-0.4478931,11.092736,15.399322,2.6235318,0.9965385
-1.0973657,9.821722,15.287107,3.592709,1.0943727
-0.942692,11.802048,15.134668,2.4846025,1.2425101
-0.612625,11.333883,15.336953,2.535372,0.98491347
-1.2187692,9.456725,15.500187,2.9477155,1.0334527
-2.7093613,3.3206468,15.42893,2.6547916,1.067275
-1.1372147,9.622568,15.206416,3.741899,1.3969007
-1.1737964,9.997315,15.406763,2.5629327,0.90270954
-1.136937,9.655852,15.218001,3.3599005,0.84399426
-2.6566725,1.6474975,14.824185,3.9871633,1.6524063
-2.5011046,1.6172395,14.893924,4.082017,1.5164534
-2.1640491,6.7686877,15.2784605,3.4166393,1.3571707
-2.5384269,1.6703587,15.378775,2.5682943,1.0565407
-2.4714212,2.4938188,15.419991,2.6634436,0.9657388
-1.9067798,7.1699095,15.216583,3.6955905,1.3952987
-2.5187366,1.5585362,14.898762,3.9194388,1.6027316
-0.4531496,11.090919,15.2638645,2.542012,1.2423548
-0.44134098,11.099154,15.272275,3.6168568,1.225017
-0.43564004,11.084539,14.94113,3.9125116,1.5262367
-1.916815,6.825382,15.471357,2.9656806,1.1376221
-0.89803475,11.691946,15.260789,2.5099382,1.1665174
-1.7272571,7.4743066,14.931905,4.2008643,1.5029764
-1.6499743,0.014088044,14.847646,4.242392,1.7111814
-1.6633741,0.016217515,15.495666,2.5778859,1.0827363
-0.44154122,11.113333,11.844234,7.875418,3.5060878
-2.5282667,1.386579,14.89351,3.911776,1.4405079
-0.4162089,11.0969925,15.0261135,3.2532175,1.5634344
-0.3859125,11.035046,14.9496155,3.6381304,2.0475445
-2.9606671,3.2955132,14.618941,3.9586554,2.0852761
-1.7988386,7.34153,15.311391,3.1732984,1.4517803
-1.9464525,6.951217,14.920509,4.2141976,1.8775703
-2.9016917,4.697617,14.613318,4.2468057,2.2679386
-2.6656249,3.7492852,15.229837,3.612597,1.4124964
-2.53172,2.213604,14.847049,4.2850447,1.9136904
-2.2010071,6.851032,14.744393,4.246915,2.129697
-3.002596,3.734444,14.716575,4.287822,2.3120475
-3.197559,3.4262006,14.213779,4.5222173,2.6509347
-2.4884264,7.224016,14.112203,4.570585,2.7139316
-0.9364618,11.7827,14.584819,4.3347683,2.940395
-2.7244787,5.570935,14.397128,4.4231825,2.942317
-3.4720879,11.321085,12.501802,3.728043,2.7394292
-1.47659,12.2152815,14.091997,4.5610433,2.815267
-1.477423,12.245614,14.099095,4.5528007,3.0347517
-2.197262,12.340831,13.877711,4.397504,2.455031
-3.5468092,3.4493425,13.437715,4.434942,2.8665726
-3.6283717,11.232449,12.49093,4.3229203,3.3462067
-2.8003595,4.9863877,14.722214,4.2876186,2.2572381
-3.0826447,3.2162917,14.737208,4.1732917,2.3219244
-1.3810033,12.1640835,14.180161,4.4980755,2.526283
-2.8841736,6.1166353,14.052556,4.515891,2.7720973
-1.3934739,12.196659,14.087495,4.419786,2.3829262
-3.0080843,3.4991274,14.803161,4.269783,2.082182
-1.2762438,12.086953,14.567097,4.236046,2.2488744
-3.8994231,9.511241,11.908001,4.4339294,3.5603187
-3.6666288,9.019948,12.583177,4.127264,3.228254
-4.357422,7.230617,12.107773,4.428268,3.8639524
-4.0393376,6.3738484,12.664997,4.138191,3.0787644
-4.3542547,10.368475,11.809092,4.6737847,3.5880284
-3.6616027,11.23307,12.408802,4.366783,3.7999806
-4.67153,9.917033,11.704492,4.890424,3.6848524
-4.2741437,3.2446837,12.448432,4.3530774,3.5831463
-4.709811,9.778035,11.77475,4.6317134,3.2921207
-3.9275582,8.338298,12.07991,4.42862,3.4213054
-5.562192,5.8570857,11.637024,5.030702,3.8233469
-4.989379,4.003007,12.02545,4.423074,3.2375274
-5.386034,5.5230546,11.725866,4.731894,3.380063
-6.58968,4.5626945,10.024614,12.245167,4.7117577
-5.5792274,5.541178,11.650425,4.8957386,3.3941853
-5.329608,5.491315,11.751209,4.7553754,3.6175992
-5.664807,3.3108997,10.064714,11.457874,3.914977
-5.676056,3.1587722,10.067171,11.533827,4.1736097
-5.1212845,3.92313,11.665171,4.9153194,3.5191865
-5.8018327,5.3064027,10.1027775,11.5157175,4.229676
-5.1387954,5.9518948,11.657418,4.8930535,3.5596013
-4.6960907,6.5730247,11.855528,4.592997,3.5491862
-5.030421,4.005038,11.772131,4.7058845,4.0106597
-4.6138697,9.981771,11.767373,4.6910467,3.5094552
-4.208989,8.298176,11.69419,4.79673,3.4732263
-1.7161102,10.049129,14.561989,3.9045532,1.9134225
-2.5091386,7.016468,14.497952,4.3799934,2.3209598
-3.664903,11.211274,12.507233,4.1836357,3.1991389
-4.388753,10.299741,11.745241,4.581977,3.1921818
-1.5229603,12.183085,13.965143,3.2281232,1.9114664
-1.2689536,12.11558,14.535339,3.575972,1.741124
-3.2268562,11.6661625,13.166283,4.2389803,2.5480368
-2.4797707,12.048773,13.202582,4.2645946,2.5708208
-3.7252436,11.176056,12.47276,4.372994,3.8579512
-1.4009798,12.168622,14.097813,4.5529175,2.6815784
-3.4221501,11.403512,12.466006,3.7947614,2.9434505
-5.158465,9.191955,10.131963,11.550942,4.4972324
-5.2561393,8.93436,10.025829,12.249192,4.313654
-4.564594,10.052345,11.678765,4.9929714,3.661452
-4.227628,10.486171,12.122872,4.4009047,3.166201
-4.7450104,9.796552,11.671738,4.964835,3.755488
-0.9833434,11.835008,14.683328,4.309751,2.1656666
-0.78063476,11.494816,15.074126,3.972314,1.7064301
-1.2344674,12.092504,14.039405,3.9425652,2.2788877
-1.9492633,12.240536,14.1114435,4.3914204,2.464182
-2.1479506,9.302333,14.14348,4.5386295,2.8316324
-2.007826,8.680496,14.386844,4.4332776,2.612213
-1.6091235,8.570686,14.900891,4.233701,2.046832
-1.6781403,7.9160757,15.291612,3.4209597,1.4133643
-2.5314856,3.6734142,14.916934,4.240589,1.9893184
-2.907946,3.3634992,14.73317,3.0461836,1.6714646
-1.4365985,8.952934,15.407855,2.7295194,1.0542921
-1.6885746,10.044324,14.56963,2.607493,1.3272884
-0.72438705,11.484107,15.190747,3.151511,1.560865
-2.0808995,6.8961234,14.6941395,2.9944105,1.579052
-1.4969491,8.631251,15.327757,3.221874,1.4564819
-0.77662164,11.508643,15.241905,2.686012,1.0972112
-0.7227333,11.459237,15.292477,2.5957143,1.1516818
-0.72298694,11.445018,15.235044,2.915467,1.2229211
-1.7756994,9.40928,14.678707,3.995405,1.9722013
-0.88791823,11.587341,15.2054205,2.9190948,1.1561481
-1.2281309,12.063842,14.329254,2.6913137,1.47406
-1.6107272,9.988209,14.618194,4.11692,2.0497203
-0.64687014,11.341256,15.371818,3.1096992,1.2379178
-0.7305525,11.1587,15.294915,3.5609355,1.1851702
-1.4050822,10.127472,14.95944,2.959052,1.3644272
-0.8596856,11.579181,15.260025,2.8890953,1.1336881
-1.8175132,8.745007,15.274259,2.4567928,1.1027656
-1.2038547,12.047738,13.717128,2.8439233,1.4716536
-2.5706718,3.786647,15.125691,2.4849424,1.1190197
-1.904833,7.3445063,15.201634,2.4790454,1.0712953
-1.526061,9.469063,15.187671,2.4860747,1.0213842
-1.5964897,12.222638,13.526443,2.9283676,1.5300877
-1.6625785,8.627719,15.235692,2.5017965,1.0458075
-0.7488211,11.298665,14.973485,2.5634642,1.2502265
-1.7203717,7.4354486,15.418139,2.6638448,1.0523574
-1.9723768,12.235875,13.277832,3.0098433,1.9306703
-2.5492694,1.7168561,15.160136,3.5887759,1.516133
-0.5127911,11.196712,15.125629,2.515021,1.0408835
-0.93546385,11.767008,14.508477,2.6288135,1.2563635
-0.9195796,11.801356,14.361624,2.6826215,1.4404746
-0.93325084,11.80033,14.383977,2.6599627,1.3206334
-1.2511212,12.125111,13.953717,3.0579531,1.8009827
-1.1291387,10.10094,15.437399,2.665875,0.9805727
-1.5770943,8.572947,15.1094675,2.4843154,1.1013956
-0.41163838,11.142912,15.306483,2.5571587,1.044867
-1.5414877,8.661252,15.069397,2.4898305,1.1428293
-1.3569916,9.811529,15.200275,2.4817812,1.0019324
-1.5137398,9.959282,15.194615,2.4797304,1.0163225
-2.0253475,6.9896946,15.28575,2.8068151,1.089714
-2.5776894,3.7742503,15.3614,2.937639,1.0740483
-1.7282897,7.5423574,15.453116,2.8992214,1.0208298
-2.3636177,8.959291,13.486109,2.9288168,1.5095568
-2.3290873,12.515355,13.094254,3.0880306,1.7573102
-1.368783,12.2113695,14.066459,2.9552042,1.5348681
-1.7945772,9.176036,14.634256,2.7060847,1.2870134
-1.6103154,9.951155,14.928122,2.9220796,1.296383
-2.4034467,7.0502286,14.606117,2.6274993,1.2954216
-2.9734008,3.9168186,14.883286,3.0017295,1.385405
-1.9410516,9.3858385,14.399452,2.7964098,1.4182767
-2.5446067,5.9194417,14.309883,2.8691866,1.5156382
-2.5397894,6.171063,14.285566,2.8549306,1.4092954
-2.5427482,7.276333,14.15204,4.064719,1.9626349
-2.5075126,7.2110696,14.339125,3.1710763,1.4928836
-3.3015046,8.670182,12.533436,3.8279881,2.7776847
-3.3756618,11.428958,12.582777,3.6599545,2.3781307
-1.8569708,12.306784,14.012808,3.0917785,1.7771691
-3.9155936,7.353353,12.655397,4.201646,2.9082398
-2.6426306,9.793083,13.386097,4.451123,2.9157038
-2.9829473,9.599064,12.507683,3.828749,2.7439082
-2.8192072,9.364774,13.154454,4.2161903,2.4831579
-1.8632582,10.038915,14.336408,3.2102206,1.6121595
-2.9597025,7.734672,13.023315,3.3170493,1.8811102
